name,diameter,weight
orange,2.96,86.76
orange,3.91,88.05
orange,4.42,95.17
orange,4.47,95.6
orange,4.48,95.76
orange,4.59,95.86
orange,4.64,97.94
orange,4.65,98.5
orange,4.68,100.2
orange,4.69,100.31
orange,4.73,101.33
orange,4.74,101.66
orange,4.75,101.8
orange,4.77,102.56
orange,4.78,103.06
orange,4.82,103.1
orange,4.85,103.44
orange,4.91,103.46
orange,4.97,104.01
orange,5.02,104.1
orange,5.02,104.19
orange,5.08,104.56
orange,5.1,104.7
orange,5.11,104.82
orange,5.15,104.98
orange,5.16,105.22
orange,5.22,105.42
orange,5.22,105.47
orange,5.24,105.6
orange,5.24,105.62
orange,5.25,105.68
orange,5.26,106.29
orange,5.3,106.43
orange,5.3,106.85
orange,5.3,106.9
orange,5.32,106.94
orange,5.34,106.94
orange,5.35,107.01
orange,5.36,107.3
orange,5.37,107.64
orange,5.37,107.77
orange,5.37,107.85
orange,5.38,108.16
orange,5.4,108.18
orange,5.43,108.54
orange,5.45,108.63
orange,5.47,108.69
orange,5.47,108.85
orange,5.48,108.93
orange,5.48,109.16
orange,5.48,109.32
orange,5.48,109.37
orange,5.49,109.49
orange,5.51,109.49
orange,5.51,109.52
orange,5.51,109.59
orange,5.52,110.36
orange,5.53,110.4
orange,5.53,110.42
orange,5.57,110.47
orange,5.57,110.75
orange,5.58,110.89
orange,5.59,110.9
orange,5.6,111
orange,5.6,111.1
orange,5.61,111.16
orange,5.61,111.29
orange,5.61,111.31
orange,5.63,111.53
orange,5.65,111.59
orange,5.65,111.66
orange,5.65,111.69
orange,5.65,111.83
orange,5.66,111.88
orange,5.66,111.94
orange,5.67,111.95
orange,5.67,112.1
orange,5.68,112.15
orange,5.69,112.41
orange,5.71,112.7
orange,5.71,112.73
orange,5.71,112.77
orange,5.71,113.01
orange,5.72,113.14
orange,5.72,113.23
orange,5.73,113.26
orange,5.73,113.46
orange,5.73,113.62
orange,5.73,113.63
orange,5.73,113.66
orange,5.74,113.79
orange,5.76,113.79
orange,5.76,113.94
orange,5.77,114.17
orange,5.77,114.18
orange,5.77,114.3
orange,5.79,114.31
orange,5.79,114.39
orange,5.8,114.44
orange,5.8,114.48
orange,5.8,114.58
orange,5.8,114.64
orange,5.8,114.87
orange,5.81,114.92
orange,5.83,114.96
orange,5.84,114.96
orange,5.84,114.97
orange,5.84,114.97
orange,5.85,115.02
orange,5.86,115.03
orange,5.86,115.04
orange,5.87,115.16
orange,5.87,115.18
orange,5.88,115.23
orange,5.89,115.24
orange,5.91,115.29
orange,5.91,115.37
orange,5.92,115.4
orange,5.93,115.46
orange,5.94,115.46
orange,5.94,115.55
orange,5.95,115.55
orange,5.95,115.59
orange,5.95,115.79
orange,5.96,115.82
orange,5.97,115.85
orange,5.98,115.89
orange,5.98,115.94
orange,5.99,116.21
orange,5.99,116.22
orange,5.99,116.27
orange,6,116.29
orange,6,116.32
orange,6,116.34
orange,6.01,116.35
orange,6.01,116.36
orange,6.02,116.4
orange,6.03,116.4
orange,6.03,116.41
orange,6.03,116.56
orange,6.04,116.56
orange,6.04,116.83
orange,6.04,116.88
orange,6.04,116.9
orange,6.04,116.9
orange,6.05,116.92
orange,6.05,116.93
orange,6.06,117.01
orange,6.06,117.1
orange,6.06,117.13
orange,6.06,117.14
orange,6.07,117.17
orange,6.07,117.18
orange,6.08,117.2
orange,6.09,117.21
orange,6.09,117.21
orange,6.1,117.28
orange,6.1,117.28
orange,6.11,117.5
orange,6.11,117.52
orange,6.11,117.57
orange,6.11,117.66
orange,6.11,117.81
orange,6.12,117.86
orange,6.14,117.93
orange,6.14,117.98
orange,6.14,118.04
orange,6.14,118.21
orange,6.14,118.27
orange,6.14,118.32
orange,6.15,118.33
orange,6.16,118.4
orange,6.16,118.48
orange,6.16,118.55
orange,6.16,118.62
orange,6.16,118.65
orange,6.16,118.77
orange,6.16,118.82
orange,6.16,118.9
orange,6.17,119.08
orange,6.17,119.12
orange,6.17,119.26
orange,6.17,119.3
orange,6.18,119.31
orange,6.18,119.32
orange,6.18,119.34
orange,6.19,119.35
orange,6.19,119.38
orange,6.2,119.41
orange,6.2,119.45
orange,6.2,119.48
orange,6.21,119.52
orange,6.21,119.63
orange,6.22,119.76
orange,6.22,119.8
orange,6.22,119.9
orange,6.23,119.97
orange,6.23,119.98
orange,6.23,120.03
orange,6.23,120.03
orange,6.24,120.04
orange,6.24,120.04
orange,6.25,120.06
orange,6.25,120.09
orange,6.25,120.1
orange,6.25,120.11
orange,6.26,120.14
orange,6.26,120.16
orange,6.27,120.26
orange,6.27,120.29
orange,6.27,120.47
orange,6.27,120.5
orange,6.27,120.51
orange,6.28,120.63
orange,6.28,120.65
orange,6.28,120.66
orange,6.28,120.66
orange,6.28,120.71
orange,6.29,120.74
orange,6.29,120.78
orange,6.29,120.79
orange,6.3,120.93
orange,6.3,120.94
orange,6.3,120.95
orange,6.31,121.04
orange,6.31,121.04
orange,6.32,121.04
orange,6.32,121.06
orange,6.32,121.18
orange,6.32,121.27
orange,6.32,121.27
orange,6.33,121.33
orange,6.33,121.36
orange,6.33,121.36
orange,6.33,121.43
orange,6.33,121.46
orange,6.34,121.49
orange,6.35,121.51
orange,6.37,121.51
orange,6.37,121.53
orange,6.37,121.53
orange,6.38,121.55
orange,6.38,121.59
orange,6.38,121.61
orange,6.38,121.64
orange,6.38,121.7
orange,6.39,121.72
orange,6.4,121.73
orange,6.4,121.74
orange,6.4,121.76
orange,6.4,121.86
orange,6.4,121.88
orange,6.41,121.94
orange,6.41,121.95
orange,6.41,121.96
orange,6.41,122.03
orange,6.42,122.05
orange,6.42,122.08
orange,6.42,122.09
orange,6.42,122.14
orange,6.42,122.2
orange,6.43,122.21
orange,6.43,122.27
orange,6.43,122.32
orange,6.43,122.35
orange,6.44,122.36
orange,6.44,122.38
orange,6.44,122.41
orange,6.44,122.44
orange,6.44,122.45
orange,6.44,122.53
orange,6.45,122.64
orange,6.45,122.66
orange,6.46,122.68
orange,6.47,122.78
orange,6.47,122.79
orange,6.47,122.85
orange,6.48,122.9
orange,6.48,122.94
orange,6.49,122.94
orange,6.49,122.95
orange,6.49,123.07
orange,6.49,123.08
orange,6.5,123.13
orange,6.5,123.15
orange,6.5,123.17
orange,6.5,123.18
orange,6.5,123.19
orange,6.5,123.19
orange,6.51,123.21
orange,6.51,123.23
orange,6.52,123.32
orange,6.52,123.33
orange,6.52,123.35
orange,6.52,123.43
orange,6.53,123.44
orange,6.53,123.47
orange,6.53,123.5
orange,6.54,123.52
orange,6.54,123.52
orange,6.54,123.54
orange,6.54,123.54
orange,6.54,123.57
orange,6.54,123.58
orange,6.55,123.68
orange,6.55,123.7
orange,6.55,123.71
orange,6.55,123.73
orange,6.55,123.73
orange,6.56,123.79
orange,6.56,123.85
orange,6.56,123.94
orange,6.57,123.95
orange,6.57,123.99
orange,6.57,123.99
orange,6.57,124.01
orange,6.57,124.03
orange,6.57,124.04
orange,6.57,124.05
orange,6.58,124.05
orange,6.58,124.08
orange,6.58,124.17
orange,6.58,124.18
orange,6.58,124.25
orange,6.58,124.28
orange,6.58,124.3
orange,6.58,124.31
orange,6.59,124.42
orange,6.59,124.42
orange,6.59,124.46
orange,6.59,124.52
orange,6.59,124.72
orange,6.59,124.75
orange,6.59,124.76
orange,6.6,124.78
orange,6.6,124.81
orange,6.6,124.87
orange,6.6,124.88
orange,6.6,124.88
orange,6.6,124.91
orange,6.6,124.95
orange,6.61,124.95
orange,6.61,124.97
orange,6.61,124.98
orange,6.61,125.03
orange,6.61,125.07
orange,6.61,125.07
orange,6.62,125.08
orange,6.62,125.08
orange,6.62,125.11
orange,6.62,125.11
orange,6.62,125.12
orange,6.62,125.16
orange,6.62,125.16
orange,6.62,125.22
orange,6.62,125.22
orange,6.62,125.22
orange,6.62,125.23
orange,6.63,125.24
orange,6.63,125.25
orange,6.63,125.38
orange,6.64,125.42
orange,6.64,125.42
orange,6.64,125.45
orange,6.64,125.46
orange,6.64,125.47
orange,6.64,125.49
orange,6.64,125.57
orange,6.65,125.61
orange,6.65,125.64
orange,6.65,125.64
orange,6.65,125.66
orange,6.65,125.68
orange,6.65,125.71
orange,6.65,125.74
orange,6.65,125.75
orange,6.65,125.78
orange,6.66,125.79
orange,6.66,125.81
orange,6.67,125.84
orange,6.67,125.88
orange,6.67,125.89
orange,6.67,125.9
orange,6.67,125.92
orange,6.67,125.94
orange,6.68,125.95
orange,6.68,125.96
orange,6.68,125.97
orange,6.68,126.03
orange,6.69,126.08
orange,6.69,126.18
orange,6.69,126.22
orange,6.69,126.24
orange,6.69,126.27
orange,6.69,126.29
orange,6.69,126.31
orange,6.7,126.41
orange,6.7,126.44
orange,6.7,126.45
orange,6.7,126.5
orange,6.7,126.51
orange,6.7,126.54
orange,6.71,126.54
orange,6.71,126.55
orange,6.71,126.58
orange,6.71,126.59
orange,6.71,126.62
orange,6.71,126.62
orange,6.71,126.65
orange,6.72,126.66
orange,6.72,126.69
orange,6.72,126.7
orange,6.72,126.74
orange,6.73,126.75
orange,6.73,126.78
orange,6.73,126.8
orange,6.73,126.93
orange,6.73,126.93
orange,6.73,126.93
orange,6.74,126.94
orange,6.74,126.94
orange,6.74,126.99
orange,6.74,127.01
orange,6.75,127.01
orange,6.75,127.04
orange,6.75,127.07
orange,6.76,127.16
orange,6.76,127.17
orange,6.76,127.24
orange,6.77,127.26
orange,6.77,127.28
orange,6.77,127.28
orange,6.77,127.3
orange,6.77,127.32
orange,6.77,127.34
orange,6.77,127.34
orange,6.78,127.35
orange,6.78,127.38
orange,6.78,127.41
orange,6.78,127.42
orange,6.78,127.46
orange,6.79,127.46
orange,6.79,127.47
orange,6.79,127.47
orange,6.79,127.48
orange,6.8,127.51
orange,6.8,127.55
orange,6.8,127.55
orange,6.8,127.57
orange,6.8,127.58
orange,6.8,127.59
orange,6.8,127.64
orange,6.8,127.67
orange,6.8,127.67
orange,6.81,127.67
orange,6.81,127.7
orange,6.82,127.75
orange,6.82,127.77
orange,6.82,127.82
orange,6.82,127.94
orange,6.82,127.95
orange,6.82,127.95
orange,6.82,127.95
orange,6.82,127.99
orange,6.82,128
orange,6.82,128.08
orange,6.82,128.08
orange,6.82,128.08
orange,6.83,128.22
orange,6.83,128.24
orange,6.83,128.24
orange,6.83,128.27
orange,6.84,128.3
orange,6.84,128.31
orange,6.84,128.31
orange,6.84,128.33
orange,6.84,128.33
orange,6.84,128.35
orange,6.84,128.37
orange,6.84,128.37
orange,6.85,128.41
orange,6.85,128.49
orange,6.85,128.52
orange,6.85,128.54
orange,6.85,128.56
orange,6.85,128.67
orange,6.85,128.68
orange,6.85,128.7
orange,6.86,128.8
orange,6.86,128.8
orange,6.86,128.81
orange,6.86,128.84
orange,6.86,128.85
orange,6.87,128.89
orange,6.87,128.94
orange,6.87,129
orange,6.87,129.17
orange,6.87,129.17
orange,6.87,129.18
orange,6.87,129.19
orange,6.88,129.25
orange,6.88,129.3
orange,6.88,129.37
orange,6.88,129.38
orange,6.88,129.42
orange,6.88,129.43
orange,6.88,129.44
orange,6.88,129.46
orange,6.89,129.52
orange,6.89,129.57
orange,6.89,129.58
orange,6.89,129.59
orange,6.89,129.6
orange,6.89,129.68
orange,6.89,129.71
orange,6.9,129.72
orange,6.9,129.73
orange,6.9,129.75
orange,6.9,129.75
orange,6.9,129.78
orange,6.9,129.79
orange,6.9,129.8
orange,6.9,129.81
orange,6.9,129.91
orange,6.9,129.92
orange,6.9,129.94
orange,6.91,129.94
orange,6.91,129.94
orange,6.91,129.99
orange,6.91,130.02
orange,6.91,130.02
orange,6.91,130.13
orange,6.91,130.13
orange,6.91,130.13
orange,6.91,130.14
orange,6.91,130.15
orange,6.91,130.15
orange,6.91,130.15
orange,6.92,130.19
orange,6.92,130.2
orange,6.92,130.25
orange,6.92,130.26
orange,6.92,130.28
orange,6.92,130.29
orange,6.93,130.39
orange,6.93,130.42
orange,6.93,130.43
orange,6.93,130.45
orange,6.93,130.46
orange,6.93,130.48
orange,6.93,130.49
orange,6.93,130.49
orange,6.93,130.51
orange,6.93,130.52
orange,6.93,130.54
orange,6.93,130.57
orange,6.93,130.6
orange,6.94,130.67
orange,6.94,130.68
orange,6.94,130.71
orange,6.94,130.72
orange,6.94,130.73
orange,6.94,130.73
orange,6.95,130.77
orange,6.95,130.8
orange,6.95,130.81
orange,6.95,130.82
orange,6.95,130.84
orange,6.95,130.84
orange,6.95,130.85
orange,6.95,130.88
orange,6.95,130.9
orange,6.95,130.9
orange,6.95,130.9
orange,6.96,130.9
orange,6.96,130.96
orange,6.96,130.97
orange,6.96,130.99
orange,6.97,130.99
orange,6.97,131.02
orange,6.97,131.02
orange,6.97,131.02
orange,6.97,131.03
orange,6.97,131.04
orange,6.98,131.06
orange,6.98,131.11
orange,6.98,131.11
orange,6.98,131.11
orange,6.98,131.11
orange,6.98,131.13
orange,6.98,131.13
orange,6.98,131.18
orange,6.99,131.19
orange,6.99,131.2
orange,6.99,131.21
orange,6.99,131.21
orange,6.99,131.22
orange,6.99,131.23
orange,6.99,131.25
orange,6.99,131.25
orange,6.99,131.28
orange,6.99,131.32
orange,6.99,131.35
orange,7,131.35
orange,7,131.36
orange,7,131.41
orange,7,131.44
orange,7,131.46
orange,7,131.46
orange,7,131.5
orange,7,131.55
orange,7.01,131.55
orange,7.01,131.6
orange,7.01,131.61
orange,7.01,131.62
orange,7.01,131.62
orange,7.01,131.65
orange,7.01,131.66
orange,7.01,131.69
orange,7.01,131.73
orange,7.02,131.75
orange,7.02,131.78
orange,7.02,131.8
orange,7.02,131.81
orange,7.02,131.85
orange,7.02,131.86
orange,7.02,131.86
orange,7.02,131.86
orange,7.02,131.89
orange,7.03,131.9
orange,7.03,131.91
orange,7.03,131.92
orange,7.03,131.93
orange,7.03,131.93
orange,7.03,131.94
orange,7.03,131.94
orange,7.03,131.97
orange,7.03,131.97
orange,7.03,131.97
orange,7.03,131.97
orange,7.03,131.98
orange,7.03,131.99
orange,7.03,132.04
orange,7.04,132.06
orange,7.04,132.06
orange,7.04,132.08
orange,7.04,132.12
orange,7.04,132.14
orange,7.05,132.15
orange,7.05,132.15
orange,7.05,132.17
orange,7.05,132.19
orange,7.05,132.19
orange,7.06,132.19
orange,7.06,132.24
orange,7.06,132.26
orange,7.06,132.3
orange,7.06,132.3
orange,7.06,132.32
orange,7.06,132.34
orange,7.07,132.37
orange,7.07,132.38
orange,7.07,132.41
orange,7.07,132.42
orange,7.07,132.43
orange,7.07,132.44
orange,7.07,132.53
orange,7.08,132.55
orange,7.08,132.58
orange,7.08,132.59
orange,7.08,132.59
orange,7.08,132.6
orange,7.08,132.62
orange,7.08,132.67
orange,7.08,132.68
orange,7.08,132.7
orange,7.09,132.73
orange,7.09,132.73
orange,7.09,132.74
orange,7.09,132.75
orange,7.09,132.76
orange,7.09,132.77
orange,7.09,132.85
orange,7.1,132.86
orange,7.1,132.88
orange,7.1,132.88
orange,7.1,132.88
orange,7.1,132.91
orange,7.1,132.93
orange,7.1,132.94
orange,7.1,132.98
orange,7.1,132.98
orange,7.1,132.99
orange,7.1,133
orange,7.11,133
orange,7.11,133.01
orange,7.11,133.02
orange,7.11,133.02
orange,7.11,133.03
orange,7.11,133.03
orange,7.11,133.04
orange,7.11,133.04
orange,7.11,133.05
orange,7.11,133.05
orange,7.11,133.06
orange,7.11,133.07
orange,7.12,133.09
orange,7.12,133.1
orange,7.12,133.12
orange,7.12,133.17
orange,7.12,133.19
orange,7.12,133.19
orange,7.12,133.2
orange,7.12,133.2
orange,7.12,133.21
orange,7.13,133.21
orange,7.13,133.22
orange,7.13,133.24
orange,7.13,133.25
orange,7.14,133.26
orange,7.14,133.27
orange,7.14,133.27
orange,7.14,133.28
orange,7.14,133.28
orange,7.14,133.29
orange,7.14,133.29
orange,7.14,133.3
orange,7.15,133.33
orange,7.15,133.36
orange,7.15,133.37
orange,7.15,133.39
orange,7.15,133.4
orange,7.15,133.4
orange,7.15,133.44
orange,7.15,133.44
orange,7.15,133.45
orange,7.15,133.48
orange,7.15,133.49
orange,7.16,133.52
orange,7.16,133.54
orange,7.16,133.55
orange,7.16,133.57
orange,7.16,133.59
orange,7.16,133.59
orange,7.16,133.62
orange,7.16,133.63
orange,7.16,133.63
orange,7.16,133.64
orange,7.17,133.65
orange,7.17,133.66
orange,7.17,133.68
orange,7.17,133.69
orange,7.17,133.7
orange,7.17,133.7
orange,7.17,133.71
orange,7.18,133.73
orange,7.18,133.74
orange,7.18,133.77
orange,7.18,133.78
orange,7.18,133.79
orange,7.18,133.8
orange,7.19,133.81
orange,7.19,133.82
orange,7.19,133.82
orange,7.19,133.84
orange,7.19,133.86
orange,7.19,133.9
orange,7.19,133.9
orange,7.19,133.9
orange,7.19,133.91
orange,7.19,133.92
orange,7.19,134.01
orange,7.2,134.02
orange,7.2,134.03
orange,7.2,134.03
orange,7.2,134.03
orange,7.2,134.04
orange,7.2,134.05
orange,7.2,134.07
orange,7.2,134.08
orange,7.21,134.09
orange,7.21,134.09
orange,7.21,134.1
orange,7.21,134.11
orange,7.21,134.11
orange,7.21,134.12
orange,7.21,134.13
orange,7.21,134.13
orange,7.21,134.16
orange,7.21,134.17
orange,7.22,134.17
orange,7.22,134.19
orange,7.22,134.2
orange,7.22,134.21
orange,7.22,134.23
orange,7.22,134.23
orange,7.22,134.25
orange,7.22,134.25
orange,7.22,134.27
orange,7.22,134.27
orange,7.22,134.28
orange,7.23,134.29
orange,7.23,134.33
orange,7.23,134.34
orange,7.23,134.35
orange,7.23,134.36
orange,7.23,134.37
orange,7.23,134.39
orange,7.23,134.4
orange,7.23,134.42
orange,7.23,134.45
orange,7.23,134.45
orange,7.23,134.47
orange,7.24,134.47
orange,7.24,134.47
orange,7.24,134.48
orange,7.24,134.49
orange,7.24,134.54
orange,7.24,134.54
orange,7.25,134.56
orange,7.25,134.58
orange,7.25,134.59
orange,7.26,134.61
orange,7.26,134.62
orange,7.26,134.67
orange,7.26,134.68
orange,7.26,134.68
orange,7.26,134.69
orange,7.26,134.7
orange,7.26,134.7
orange,7.26,134.71
